instance,policy,budget,seed,depth,backend,anchor_gap,incumbent_gap
air05,best_bound,900,1,11,plain,0.01347286468997254,0.035679077879730035
air05,best_bound,900,1,12,local_branching,0.015299158261924623,0.015431864715249868
air05,best_bound,900,1,11,plain,0.012464927580192613,0.015204367938120876
air05,best_bound,900,1,10,plain,0.010085690452718173,0.01122317433836354
air05,best_bound,900,1,10,plain,0.007904054692558544,0.010692348525062562
air05,best_bound,900,1,10,plain,0.007303594449078638,0.008986122696595131
air05,best_bound,900,2,0,plain,-0.01882121529341736,0.13323727913854555
air05,best_bound,900,2,10,plain,0.012461767902732535,0.06074163949344051
air05,best_bound,900,2,11,plain,0.01347286468997254,0.035679077879730035
air05,best_bound,900,2,12,local_branching,0.015299158261924623,0.015431864715249868
air05,best_bound,900,2,11,plain,0.012464927580192613,0.015204367938120876
air05,best_bound,900,2,10,plain,0.010085690452718173,0.01122317433836354
air05,best_bound,900,2,10,plain,0.007904054692558544,0.010692348525062562
air05,best_bound,900,2,10,,0.007303594449078638,0.008986122696595131
air05,best_estimate,10,0,0,plain,-0.01882121529341736,0.13323727913854555
air05,best_estimate,10,0,10,plain,0.012461767902732535,0.06074163949344051
air05,best_estimate,10,0,11,plain,0.01347286468997254,0.035679077879730035
air05,best_estimate,10,0,12,local_branching,0.015299158261924623,0.015431864715249868
air05,best_estimate,10,0,11,plain,0.012464927580192613,0.015204367938120876
air05,best_estimate,10,0,10,plain,0.010085690452718173,0.01122317433836354
air05,best_estimate,10,0,10,plain,0.007904054692558544,0.010692348525062562
air05,best_estimate,10,0,10,plain,0.007303594449078638,0.008986122696595131
air05,best_estimate,10,1,0,plain,-0.01882121529341736,0.13323727913854555
air05,best_estimate,10,1,10,plain,0.012461767902732535,0.06074163949344051
air05,best_estimate,10,1,11,plain,0.01347286468997254,0.035679077879730035
air05,best_estimate,10,1,12,local_branching,0.015299158261924623,0.015431864715249868
air05,best_estimate,10,1,11,plain,0.012464927580192613,0.015204367938120876
air05,best_estimate,10,1,10,plain,0.010085690452718173,0.01122317433836354
air05,best_estimate,10,1,10,plain,0.007904054692558544,0.010692348525062562
air05,best_estimate,10,1,10,plain,0.007303594449078638,0.008986122696595131
air05,best_estimate,10,2,0,plain,-0.01882121529341736,0.13323727913854555
air05,best_estimate,10,2,10,plain,0.012461767902732535,0.06074163949344051
air05,best_estimate,10,2,11,plain,0.01347286468997254,0.035679077879730035
air05,best_estimate,10,2,12,local_branching,0.015299158261924623,0.015431864715249868
air05,best_estimate,10,2,11,plain,0.012464927580192613,0.015204367938120876
air05,best_estimate,10,2,10,plain,0.010085690452718173,0.01122317433836354
air05,best_estimate,10,2,10,plain,0.007904054692558544,0.010692348525062562
air05,best_estimate,10,2,10,plain,0.007303594449078638,0.008986122696595131
air05,best_estimate,300,0,0,plain,-0.01882121529341736,0.13323727913854555
air05,best_estimate,300,0,10,plain,0.012461767902732535,0.06074163949344051
air05,best_estimate,300,0,11,plain,0.01347286468997254,0.035679077879730035
air05,best_estimate,300,0,12,local_branching,0.015299158261924623,0.015431864715249868
air05,best_estimate,300,0,11,plain,0.012464927580192613,0.015204367938120876
air05,best_estimate,300,0,10,plain,0.010085690452718173,0.01122317433836354
air05,best_estimate,300,0,10,plain,0.007904054692558544,0.010692348525062562
air05,best_estimate,300,0,10,,0.007303594449078638,0.008986122696595131
air05,best_estimate,300,1,0,plain,-0.01882121529341736,0.13323727913854555
air05,best_estimate,300,1,10,plain,0.012461767902732535,0.06074163949344051
air05,best_estimate,300,1,11,plain,0.01347286468997254,0.035679077879730035
air05,best_estimate,300,1,12,local_branching,0.015299158261924623,0.015431864715249868
air05,best_estimate,300,1,11,plain,0.012464927580192613,0.015204367938120876
air05,best_estimate,300,1,10,plain,0.010085690452718173,0.01122317433836354
air05,best_estimate,300,1,10,plain,0.007904054692558544,0.010692348525062562
air05,best_estimate,300,1,10,,0.007303594449078638,0.008986122696595131
air05,best_estimate,300,2,0,plain,-0.01882121529341736,0.13323727913854555
air05,best_estimate,300,2,10,plain,0.012461767902732535,0.06074163949344051
air05,best_estimate,300,2,11,plain,0.01347286468997254,0.035679077879730035
air05,best_estimate,300,2,12,local_branching,0.015299158261924623,0.015431864715249868
air05,best_estimate,300,2,11,plain,0.012464927580192613,0.015204367938120876
air05,best_estimate,300,2,10,plain,0.010085690452718173,0.01122317433836354
air05,best_estimate,300,2,10,plain,0.007904054692558544,0.010692348525062562
air05,best_estimate,300,2,10,,0.007303594449078638,0.008986122696595131
air05,best_estimate,60,0,0,plain,-0.01882121529341736,0.13323727913854555
air05,best_estimate,60,0,10,plain,0.012461767902732535,0.06074163949344051
air05,best_estimate,60,0,11,plain,0.01347286468997254,0.035679077879730035
air05,best_estimate,60,0,12,local_branching,0.015299158261924623,0.015431864715249868
air05,best_estimate,60,0,11,plain,0.012464927580192613,0.015204367938120876
air05,best_estimate,60,0,10,plain,0.010085690452718173,0.01122317433836354
air05,best_estimate,60,0,10,plain,0.007904054692558544,0.010692348525062562
air05,best_estimate,60,0,10,,0.007303594449078638,0.008986122696595131
air05,best_estimate,60,1,0,plain,-0.01882121529341736,0.13323727913854555
air05,best_estimate,60,1,10,plain,0.012461767902732535,0.06074163949344051
air05,best_estimate,60,1,11,plain,0.01347286468997254,0.035679077879730035
air05,best_estimate,60,1,12,local_branching,0.015299158261924623,0.015431864715249868
air05,best_estimate,60,1,11,plain,0.012464927580192613,0.015204367938120876
air05,best_estimate,60,1,10,plain,0.010085690452718173,0.01122317433836354
air05,best_estimate,60,1,10,plain,0.007904054692558544,0.010692348525062562
air05,best_estimate,60,1,10,,0.007303594449078638,0.008986122696595131
air05,best_estimate,60,2,0,plain,-0.01882121529341736,0.13323727913854555
air05,best_estimate,60,2,10,plain,0.012461767902732535,0.06074163949344051
air05,best_estimate,60,2,11,plain,0.01347286468997254,0.035679077879730035
air05,best_estimate,60,2,12,local_branching,0.015299158261924623,0.015431864715249868
air05,best_estimate,60,2,11,plain,0.012464927580192613,0.015204367938120876
air05,best_estimate,60,2,10,plain,0.010085690452718173,0.01122317433836354
air05,best_estimate,60,2,10,plain,0.007904054692558544,0.010692348525062562
air05,best_estimate,60,2,10,,0.007303594449078638,0.008986122696595131
air05,best_estimate,900,0,0,plain,-0.01882121529341736,0.13323727913854555
air05,best_estimate,900,0,10,plain,0.012461767902732535,0.06074163949344051
air05,best_estimate,900,0,11,plain,0.01347286468997254,0.035679077879730035
air05,best_estimate,900,0,12,local_branching,0.015299158261924623,0.015431864715249868
air05,best_estimate,900,0,11,plain,0.012464927580192613,0.015204367938120876
air05,best_estimate,900,0,10,plain,0.010085690452718173,0.01122317433836354
air05,best_estimate,900,0,10,plain,0.007904054692558544,0.010692348525062562
air05,best_estimate,900,0,10,,0.007303594449078638,0.008986122696595131
air05,best_estimate,900,1,0,plain,-0.01882121529341736,0.13323727913854555
air05,best_estimate,900,1,10,plain,0.012461767902732535,0.06074163949344051
air05,best_estimate,900,1,11,plain,0.01347286468997254,0.035679077879730035
air05,best_estimate,900,1,12,local_branching,0.015299158261924623,0.015431864715249868
air05,best_estimate,900,1,11,plain,0.012464927580192613,0.015204367938120876
air05,best_estimate,900,1,10,plain,0.010085690452718173,0.01122317433836354
air05,best_estimate,900,1,10,plain,0.007904054692558544,0.010692348525062562
air05,best_estimate,900,1,10,,0.007303594449078638,0.008986122696595131
air05,best_estimate,900,2,0,plain,-0.01882121529341736,0.13323727913854555
air05,best_estimate,900,2,10,plain,0.012461767902732535,0.06074163949344051
air05,best_estimate,900,2,11,plain,0.01347286468997254,0.035679077879730035
air05,best_estimate,900,2,12,local_branching,0.015299158261924623,0.015431864715249868
air05,best_estimate,900,2,11,plain,0.012464927580192613,0.015204367938120876
air05,best_estimate,900,2,10,plain,0.010085690452718173,0.01122317433836354
air05,best_estimate,900,2,10,plain,0.007904054692558544,0.010692348525062562
air05,best_estimate,900,2,10,,0.007303594449078638,0.008986122696595131
air05,boltzmann_adaptive,10,0,0,plain,-0.01882121529341736,0.13323727913854555
air05,boltzmann_adaptive,10,1,0,plain,-0.01882121529341736,0.13323727913854555
air05,boltzmann_adaptive,10,2,0,plain,-0.01882121529341736,0.13323727913854555
air05,boltzmann_adaptive,10,2,5,plain,-0.00780350766990554,0.08709334951088193
air05,boltzmann_adaptive,300,0,0,plain,-0.01882121529341736,0.13323727913854555
air05,boltzmann_adaptive,300,0,13,plain,0.015727638507900394,0.10760597558201258
air05,boltzmann_adaptive,300,0,14,plain,0.01652837013618354,0.0903162205202093
air05,boltzmann_adaptive,300,0,14,plain,0.015543583177185696,0.07643891711534087
air05,boltzmann_adaptive,300,0,13,plain,0.02930994191867997,0.06642905892166527
air05,boltzmann_adaptive,300,0,18,plain,0.02918120118298324,0.054561310381436266
air05,boltzmann_adaptive,300,0,19,plain,0.03027775288334894,0.04705391673617957
air05,boltzmann_adaptive,300,1,0,plain,-0.01882121529341736,0.13323727913854555
air05,boltzmann_adaptive,300,1,9,plain,0.006205178726968335,0.11526503374535528
air05,boltzmann_adaptive,300,1,11,plain,0.0062940775005681905,0.023773413209979527
air05,boltzmann_adaptive,300,1,13,plain,0.010266002713109434,0.011374838856449533
air05,boltzmann_adaptive,300,1,13,plain,0.008965278751046793,0.00925153560324562
air05,boltzmann_adaptive,300,2,0,plain,-0.01882121529341736,0.13323727913854555
air05,boltzmann_adaptive,300,2,5,plain,-0.00780350766990554,0.08709334951088193
air05,boltzmann_adaptive,300,2,11,plain,0.007695751191911775,0.08220216880260862
air05,boltzmann_adaptive,300,2,17,plain,0.03830957429016338,0.06491241374080534
air05,boltzmann_adaptive,300,2,17,plain,0.04023375293849976,0.043072723136422235
air05,boltzmann_adaptive,60,0,0,plain,-0.01882121529341736,0.13323727913854555
air05,boltzmann_adaptive,60,0,13,plain,0.015727638507900394,0.10760597558201258
air05,boltzmann_adaptive,60,0,14,plain,0.01652837013618354,0.0903162205202093
air05,boltzmann_adaptive,60,0,14,plain,0.015543583177185696,0.07643891711534087
air05,boltzmann_adaptive,60,0,13,plain,0.02930994191867997,0.06642905892166527
air05,boltzmann_adaptive,60,0,18,plain,0.02918120118298324,0.054561310381436266
air05,boltzmann_adaptive,60,0,19,plain,0.03027775288334894,0.04705391673617957
air05,boltzmann_adaptive,60,1,0,plain,-0.01882121529341736,0.13323727913854555
air05,boltzmann_adaptive,60,1,9,plain,0.006205178726968335,0.11526503374535528
air05,boltzmann_adaptive,60,1,12,plain,0.006937466823386806,0.023773413209979527
air05,boltzmann_adaptive,60,1,11,plain,0.011218298689361857,0.013763555016303936
air05,boltzmann_adaptive,60,1,13,plain,0.008965278751046793,0.00925153560324562
air05,boltzmann_adaptive,60,2,0,plain,-0.01882121529341736,0.13323727913854555
air05,boltzmann_adaptive,60,2,5,plain,-0.00780350766990554,0.08709334951088193
air05,boltzmann_adaptive,60,2,11,plain,0.007695751191911775,0.08220216880260862
air05,boltzmann_adaptive,60,2,17,plain,0.03830957429016338,0.06491241374080534
air05,boltzmann_adaptive,60,2,17,plain,0.04023375293849976,0.043072723136422235
air05,boltzmann_adaptive,900,0,0,plain,-0.01882121529341736,0.13323727913854555
air05,boltzmann_adaptive,900,0,13,plain,0.015727638507900394,0.10760597558201258
air05,boltzmann_adaptive,900,0,14,plain,0.01652837013618354,0.0903162205202093
air05,boltzmann_adaptive,900,0,14,plain,0.015543583177185696,0.07643891711534087
air05,boltzmann_adaptive,900,0,13,plain,0.02930994191867997,0.06642905892166527
air05,boltzmann_adaptive,900,0,18,plain,0.02918120118298324,0.054561310381436266
air05,boltzmann_adaptive,900,0,19,plain,0.03027775288334894,0.04705391673617957
air05,boltzmann_adaptive,900,1,0,plain,-0.01882121529341736,0.13323727913854555
air05,boltzmann_adaptive,900,1,9,plain,0.006205178726968335,0.11526503374535528
air05,boltzmann_adaptive,900,1,10,plain,0.005490517576745458,0.06214453628573595
air05,boltzmann_adaptive,900,1,13,plain,0.008965278751046793,0.00925153560324562
air05,boltzmann_adaptive,900,2,0,plain,-0.01882121529341736,0.13323727913854555
air05,boltzmann_adaptive,900,2,5,plain,-0.00780350766990554,0.08709334951088193
air05,boltzmann_adaptive,900,2,11,plain,0.007695751191911775,0.08220216880260862
air05,boltzmann_adaptive,900,2,17,plain,0.03830957429016338,0.06491241374080534
air05,boltzmann_adaptive,900,2,17,plain,0.04023375293849976,0.043072723136422235
air05,depth_first,10,0,0,plain,-0.01882121529341736,0.13323727913854555
air05,depth_first,10,0,10,plain,0.012461767902732535,0.05983165238492455
air05,depth_first,10,0,11,plain,0.01347286468997254,0.032569955258967165
air05,depth_first,10,0,12,local_branching,0.015299158261924623,0.015431864715249868
air05,depth_first,10,0,11,plain,0.012464927580192613,0.015204367938120876
air05,depth_first,10,0,10,plain,0.010085690452718173,0.01122317433836354
air05,depth_first,10,0,9,plain,0.007836000101109587,0.010692348525062562
air05,depth_first,10,0,10,plain,0.007303594449078638,0.008986122696595131
air05,depth_first,10,0,0,plain,-0.01882121529341736,0.13323727913854555
air05,depth_first,10,0,10,plain,0.012461767902732535,0.06074163949344051
air05,depth_first,10,0,11,plain,0.01347286468997254,0.035679077879730035
air05,depth_first,10,0,12,local_branching,0.015299158261924623,0.015431864715249868
air05,depth_first,10,0,11,plain,0.012464927580192613,0.015204367938120876
air05,depth_first,10,0,10,plain,0.010085690452718173,0.01122317433836354
air05,depth_first,10,0,10,plain,0.007904054692558544,0.010692348525062562
air05,depth_first,10,0,10,plain,0.007303594449078638,0.008986122696595131
air05,depth_first,10,1,0,plain,-0.01882121529341736,0.13323727913854555
air05,depth_first,10,1,10,plain,0.012461767902732535,0.06074163949344051
air05,depth_first,10,1,11,plain,0.01347286468997254,0.035679077879730035
air05,depth_first,10,1,12,local_branching,0.015299158261924623,0.015431864715249868
air05,depth_first,10,1,11,plain,0.012464927580192613,0.015204367938120876
air05,depth_first,10,1,10,plain,0.010085690452718173,0.01122317433836354
air05,depth_first,10,1,10,plain,0.007904054692558544,0.010692348525062562
air05,depth_first,10,1,10,,0.007303594449078638,0.008986122696595131
air05,depth_first,10,2,0,plain,-0.01882121529341736,0.13323727913854555
air05,depth_first,10,2,10,plain,0.012461767902732535,0.06074163949344051
air05,depth_first,10,2,11,plain,0.01347286468997254,0.035679077879730035
air05,depth_first,10,2,12,local_branching,0.015299158261924623,0.015431864715249868
air05,depth_first,10,2,11,plain,0.012464927580192613,0.015204367938120876
air05,depth_first,10,2,10,plain,0.010085690452718173,0.01122317433836354
air05,depth_first,10,2,10,plain,0.007904054692558544,0.010692348525062562
air05,depth_first,10,2,10,,0.007303594449078638,0.008986122696595131
air05,depth_first,300,0,0,plain,-0.01882121529341736,0.13323727913854555
air05,depth_first,300,0,10,plain,0.012461767902732535,0.06074163949344051
air05,depth_first,300,0,11,plain,0.01347286468997254,0.035679077879730035
air05,depth_first,300,0,12,local_branching,0.015299158261924623,0.015431864715249868
air05,depth_first,300,0,11,plain,0.012464927580192613,0.015204367938120876
air05,depth_first,300,0,10,plain,0.010085690452718173,0.01122317433836354
air05,depth_first,300,0,10,plain,0.007904054692558544,0.010692348525062562
air05,depth_first,300,0,10,,0.007303594449078638,0.008986122696595131
air05,depth_first,300,1,0,plain,-0.01882121529341736,0.13323727913854555
air05,depth_first,300,1,10,plain,0.012461767902732535,0.06074163949344051
air05,depth_first,300,1,11,plain,0.01347286468997254,0.035679077879730035
air05,depth_first,300,1,12,local_branching,0.015299158261924623,0.015431864715249868
air05,depth_first,300,1,11,plain,0.012464927580192613,0.015204367938120876
air05,depth_first,300,1,10,plain,0.010085690452718173,0.01122317433836354
air05,depth_first,300,1,10,plain,0.007904054692558544,0.010692348525062562
air05,depth_first,300,1,10,plain,0.007303594449078638,0.008986122696595131
air05,depth_first,300,2,0,plain,-0.01882121529341736,0.13323727913854555
air05,depth_first,300,2,10,plain,0.012461767902732535,0.06074163949344051
air05,depth_first,300,2,11,plain,0.01347286468997254,0.035679077879730035
air05,depth_first,300,2,12,local_branching,0.015299158261924623,0.015431864715249868
air05,depth_first,300,2,11,plain,0.012464927580192613,0.015204367938120876
air05,depth_first,300,2,10,plain,0.010085690452718173,0.01122317433836354
air05,depth_first,300,2,10,plain,0.007904054692558544,0.010692348525062562
air05,depth_first,300,2,10,plain,0.007303594449078638,0.008986122696595131
air05,depth_first,60,0,0,plain,-0.01882121529341736,0.13323727913854555
air05,depth_first,60,0,10,plain,0.012461767902732535,0.06074163949344051
air05,depth_first,60,0,11,plain,0.01347286468997254,0.035679077879730035
air05,depth_first,60,0,12,local_branching,0.015299158261924623,0.015431864715249868
air05,depth_first,60,0,11,plain,0.012464927580192613,0.015204367938120876
air05,depth_first,60,0,10,plain,0.010085690452718173,0.01122317433836354
air05,depth_first,60,0,10,plain,0.007904054692558544,0.010692348525062562
air05,depth_first,60,0,10,plain,0.007303594449078638,0.008986122696595131
air05,depth_first,60,1,0,plain,-0.01882121529341736,0.13323727913854555
air05,depth_first,60,1,10,plain,0.012461767902732535,0.06074163949344051
air05,depth_first,60,1,11,plain,0.01347286468997254,0.035679077879730035
air05,depth_first,60,1,12,local_branching,0.015299158261924623,0.015431864715249868
air05,depth_first,60,1,11,plain,0.012464927580192613,0.015204367938120876
air05,depth_first,60,1,10,plain,0.010085690452718173,0.01122317433836354
air05,depth_first,60,1,10,plain,0.007904054692558544,0.010692348525062562
air05,depth_first,60,1,10,,0.007303594449078638,0.008986122696595131
air05,depth_first,60,2,0,plain,-0.01882121529341736,0.13323727913854555
air05,depth_first,60,2,10,plain,0.012461767902732535,0.06074163949344051
air05,depth_first,60,2,11,plain,0.01347286468997254,0.035679077879730035
air05,depth_first,60,2,12,local_branching,0.015299158261924623,0.015431864715249868
air05,depth_first,60,2,11,plain,0.012464927580192613,0.015204367938120876
air05,depth_first,60,2,10,plain,0.010085690452718173,0.01122317433836354
air05,depth_first,60,2,10,plain,0.007904054692558544,0.010692348525062562
air05,depth_first,60,2,10,,0.007303594449078638,0.008986122696595131
air05,depth_first,900,0,0,plain,-0.01882121529341736,0.13323727913854555
air05,depth_first,900,0,10,plain,0.012461767902732535,0.06074163949344051
air05,depth_first,900,0,11,plain,0.01347286468997254,0.035679077879730035
air05,depth_first,900,0,12,local_branching,0.015299158261924623,0.015431864715249868
air05,depth_first,900,0,11,plain,0.012464927580192613,0.015204367938120876
air05,depth_first,900,0,10,plain,0.010085690452718173,0.01122317433836354
air05,depth_first,900,0,10,plain,0.007904054692558544,0.010692348525062562
air05,depth_first,900,0,10,,0.007303594449078638,0.008986122696595131
air05,depth_first,900,1,0,plain,-0.01882121529341736,0.13323727913854555
air05,depth_first,900,1,10,plain,0.012461767902732535,0.06074163949344051
air05,depth_first,900,1,11,plain,0.01347286468997254,0.035679077879730035
air05,depth_first,900,1,12,local_branching,0.015299158261924623,0.015431864715249868
air05,depth_first,900,1,11,plain,0.012464927580192613,0.015204367938120876
air05,depth_first,900,1,10,plain,0.010085690452718173,0.01122317433836354
air05,depth_first,900,1,10,plain,0.007904054692558544,0.010692348525062562
air05,depth_first,900,1,10,,0.007303594449078638,0.008986122696595131
air05,depth_first,900,2,0,plain,-0.01882121529341736,0.13323727913854555
air05,depth_first,900,2,10,plain,0.012461767902732535,0.06074163949344051
air05,depth_first,900,2,11,plain,0.01347286468997254,0.035679077879730035
air05,depth_first,900,2,12,local_branching,0.015299158261924623,0.015431864715249868
air05,depth_first,900,2,11,plain,0.012464927580192613,0.015204367938120876
air05,depth_first,900,2,10,plain,0.010085690452718173,0.01122317433836354
air05,depth_first,900,2,10,plain,0.007904054692558544,0.010692348525062562
air05,depth_first,900,2,10,plain,0.007303594449078638,0.008986122696595131
air05,greedy_score,10,0,0,plain,-0.01882121529341736,0.13323727913854555
air05,greedy_score,10,0,8,plain,0.006808757442858491,0.03526200045499355
air05,greedy_score,10,0,9,,0.007538336693486649,0.012171077576401
air05,greedy_score,10,0,11,plain,0.009210838339529168,0.011602335633578525
air05,greedy_score,10,1,0,plain,-0.01882121529341736,0.13323727913854555
air05,greedy_score,10,1,8,plain,0.006808757442858491,0.03526200045499355
air05,greedy_score,10,1,9,,0.007538336693486649,0.012171077576401
air05,greedy_score,10,1,12,,0.009694766397850132,0.011602335633578525
air05,greedy_score,10,2,0,plain,-0.01882121529341736,0.13323727913854555
air05,greedy_score,10,2,8,plain,0.006808757442858491,0.03526200045499355
air05,greedy_score,10,2,9,,0.007538336693486649,0.012171077576401
air05,greedy_score,10,2,12,,0.009694766397850132,0.011602335633578525
air05,greedy_score,300,0,0,plain,-0.01882121529341736,0.13323727913854555
air05,greedy_score,300,0,4,plain,-0.010468615615120946,0.08371881398346857
air05,greedy_score,300,0,10,plain,0.010856200370494435,0.0146356259952984
air05,greedy_score,300,0,17,plain,0.013510780819493487,0.013725638886782437
air05,greedy_score,300,1,0,plain,-0.01882121529341736,0.13323727913854555
air05,greedy_score,300,1,8,plain,0.006808757442858491,0.03526200045499355
air05,greedy_score,300,1,9,,0.007538336693486649,0.012171077576401
air05,greedy_score,300,1,12,,0.009694766397850132,0.011602335633578525
air05,greedy_score,300,1,16,,0.011393796921210283,0.011412754985971033
air05,greedy_score,300,2,0,plain,-0.01882121529341736,0.13323727913854555
air05,greedy_score,300,2,8,plain,0.006808757442858491,0.03526200045499355
air05,greedy_score,300,2,9,,0.007538336693486649,0.012171077576401
air05,greedy_score,300,2,12,,0.009694766397850132,0.011602335633578525
air05,greedy_score,300,2,16,,0.011393796921210283,0.011412754985971033
air05,greedy_score,60,0,0,plain,-0.01882121529341736,0.13323727913854555
air05,greedy_score,60,0,8,plain,0.006808757442858491,0.03526200045499355
air05,greedy_score,60,0,9,,0.007538336693486649,0.012171077576401
air05,greedy_score,60,0,12,,0.009694766397850132,0.011602335633578525
